Index,County,Voters,Gema,Kalenjin,Luhya,Luo,Kamba,Kisii,Coast,Somali,Other
1,Baringo,271977,8268,250273,3509,1768,381,1034,82,925,5739
2,Bomet,370399,370,356435,1630,3371,222,4889,74,222,3185
3,Bungoma,644233,6120,65261,534198,6636,773,1997,387,451,28411
4,Busia,406569,3862,2968,232476,26874,691,1057,285,1138,137217
5,Elgeyo-Marakwet,211352,888,195649,5537,993,254,486,42,317,7186
6,Embu,337627,297618,304,709,912,30724,473,338,405,6145
7,Garissa,207435,996,187,249,394,2033,104,207,165243,38023
8,Homa Bay,537108,430,3223,2900,520135,215,3008,107,698,6392
9,Isiolo,86143,9519,982,379,482,431,190,465,52814,20881
10,Kajiado,463546,113059,6582,22806,18403,47235,14416,1437,6536,233071
11,Kakamega,841139,7654,5804,777044,27001,1262,3028,505,505,18337
12,Kericho,429288,10646,374253,8757,17214,816,10732,129,429,6311
13,Kiambu,1293309,1070213,5432,53414,25996,57940,21340,2975,6079,49922
14,Kilifi,582631,10662,1165,8099,5535,14566,1923,507005,5885,27791
15,Kirinyaga,378580,366844,379,530,530,4770,303,416,454,4354
16,Kisii,638603,2682,3704,2746,6322,894,616316,128,192,5620
17,Kisumu,616871,2036,8636,33126,548028,1110,6971,493,1666,14805
18,Kitui,532267,9049,213,1544,532,514223,373,319,905,5110
19,Kwale,320782,5133,449,4427,2727,26817,1187,265864,1059,13120
20,Laikipia,265842,177317,19513,2499,1648,1701,1755,691,4200,56518
21,Lamu,79157,23708,269,1156,1029,2699,412,14232,7852,27800
22,Machakos,690243,27955,2071,8283,7179,628052,5177,828,1104,9594
23,Makueni,474493,2657,285,902,807,465383,474,474,332,3179
24,Mandera,211098,106,42,21,21,42,0,21,209346,1499
25,Marsabit,164864,956,528,148,148,148,66,445,150620,11804
26,Meru,780858,751185,859,1327,1093,4997,625,5700,4295,10776
27,Migori,454954,1592,4322,19336,268423,318,7370,273,1501,151818
28,Mombasa,654063,54418,8176,57165,63967,80973,13997,202890,16940,155536
29,Murang'a,628416,593225,754,2765,1320,23251,1005,314,503,5279
30,Nairobi,2505199,807927,53361,361751,363003,393066,125260,17035,94195,289601
31,Nakuru,1050367,555854,244105,65543,45061,14705,51783,1891,7353,64072
32,Nandi,402856,1974,311811,70137,6969,403,3948,81,403,7131
33,Narok,397618,19086,132924,4692,4732,1710,18410,159,1034,214873
34,Nyamira,316389,664,1455,95,3638,316,307435,63,32,2689
35,Nyandarua,362357,350037,942,2428,507,1739,1848,254,326,4276
36,Nyeri,492046,471331,984,1919,1132,2903,1132,689,1476,10481
37,Samburu,98081,2795,353,167,196,147,108,69,1824,92422
38,Siaya,518056,414,3264,17199,490962,259,466,104,1192,4196
39,Taita Taveta,179234,4391,484,4158,3208,24286,645,9195,2025,130841
40,Tana River,137661,2368,220,1198,523,3152,220,45772,45290,38917
41,Tharaka-Nithi,234618,228870,164,211,235,1408,188,1642,422,1478
42,Trans Nzoia,395741,33242,94345,205667,8904,1781,14563,277,1464,35498
43,Turkana,241583,846,362,966,411,97,121,48,1305,237428
44,Uasin Gishu,530993,54161,308932,87242,22673,3558,11735,743,4248,37701
45,Vihiga,304755,1097,3383,291011,4663,366,792,152,152,3139
46,Wajir,196466,236,59,59,59,196,39,39,194580,1198
47,West Pokot,214574,923,203330,4120,772,172,429,43,858,3927
